0,1,2,CLASSIFICATION
2007.82816377,18.0189623454,-11.5249821539,1
2007.637018,1.9855992614,-12.4989741809,1
2007.40784977,-21.9137837886,-4.34755316934,1
2007.45394933,-13.7971716008,-11.216532208,1
2007.63148481,-10.8271241644,12.4586100398,1
2007.94128279,30.1767672495,-1.72252633115,1
2007.45534307,-21.8070822608,7.50815924404,1
2007.78831278,18.1596792997,-0.763022673316,1
2007.42022735,-10.8580117185,-14.3971552234,1
2007.8532927,33.1041401469,-14.8280146467,1
2007.37391399,-21.7298182119,4.48021808474,1
2007.83134433,28.0774905564,-14.7071430214,1
2007.87728267,13.1422808174,12.2984171506,1
2007.90290159,13.1312505212,11.3729863681,1
2007.61433388,-5.72593309042,10.3441800712,1
2007.64882809,0.037651281181,-0.681707724738,1
2007.57557524,8.36776655648,-6.71499707355,1
2007.93154738,19.5468298643,15.5796691785,1
2007.44835728,-21.645264853,5.78492768688,1
2007.46617358,-21.9062689838,5.44056369325,1
2007.78801501,23.2116592394,-7.7584111572,1
2007.42356795,-11.9364732261,-10.604380074,1
2007.70131777,-5.55926316778,15.6930894851,1
2007.84181309,25.1657314827,-10.58243619,1
2007.52927237,1.10724942523,-10.6861273001,1
2007.46583574,-17.8073789871,-9.1034606599,1
2007.31032566,-22.0147073448,-13.5772080973,1
2008.02282201,18.1809934145,7.73096453431,1
2007.85376397,13.3207009865,0.755005101386,1
2007.56114115,-11.5907380611,5.76798699998,1
2007.53799198,-8.79608258863,-11.145644822,1
2007.64416649,-6.56338258578,7.83664950487,1
2007.47160138,-16.8257513972,-9.11044557229,1
2007.62900218,-1.64650264828,-1.1833920105,1
2007.93959558,18.2561548343,1.728788293,1
2007.64898068,-10.791152394,3.85999485319,1
2007.36966269,-21.5113483572,10.4144804115,1
2007.87267234,8.26141071238,14.5130225708,1
2007.51333943,-1.77951216036,-10.485580018,1
2007.80363894,18.0989351262,-6.57657206342,1
2007.72383293,8.46171241439,13.3229062759,1
2007.74383509,8.37913749257,6.51128402075,1
2007.72095874,18.2711321814,-4.71970995362,1
2007.96231475,28.0929941688,2.23432845128,1
2007.6771523,-6.66577741946,4.86440289716,1
2007.84227697,5.15939137228,4.80690106172,1
2007.7564892,23.2816107181,-11.5959433882,1
