YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
692,0,4,21,49.23918487,-123.1553887,12,25,2,1,0
693,0,11,19,49.24237014,-123.185253,17,45,4,1,2
695,0,9,17,49.24211087,-123.1534882,17,12,4,1,0
696,0,9,11,49.24211087,-123.1534882,8,38,5,1,0
697,0,2,27,49.25261302,-123.1274118,17,20,3,1,16
698,0,4,15,49.25352158,-123.1273729,17,59,3,1,16
699,0,5,0,49.25398411,-123.1152125,18,40,5,1,17
700,0,2,0,49.25649262,-123.1908029,0,55,4,1,2
703,0,10,27,49.2558642,-123.1151207,16,43,3,1,17
705,0,0,1,49.25751293,-123.1649289,19,0,2,1,0
707,0,4,23,49.25800406,-123.1851191,9,50,4,1,9
710,0,4,14,49.25877373,-123.1761201,11,51,2,1,9
711,0,5,13,49.25871249,-123.1267678,3,52,4,1,3
712,0,9,21,49.25883036,-123.1339147,18,14,1,1,3
713,0,7,4,49.25883036,-123.1339147,19,50,0,1,3
714,0,7,3,49.26111206,-123.1577391,16,30,-1,1,9
716,0,0,15,49.26111206,-123.1577391,8,12,2,1,9
718,0,5,16,49.26118317,-123.1647899,12,39,0,1,9
723,0,9,6,49.26030665,-123.1069947,9,20,0,1,11
724,0,5,7,49.26137606,-123.1682678,8,33,5,1,9
725,0,10,2,49.26049183,-123.1199417,10,4,-1,1,3
726,0,8,16,49.26079466,-123.1387028,2,42,1,1,3
727,0,7,21,49.26079466,-123.1387028,6,10,3,1,3
728,0,2,26,49.26083667,-123.1411493,6,0,2,1,3
730,0,4,20,49.26038892,-123.1149938,23,55,1,1,3
732,0,10,1,49.26071045,-123.1338373,23,0,5,1,3
733,0,0,7,49.26071045,-123.1338373,18,25,1,1,3
734,0,11,12,49.26114471,-123.1601581,12,15,4,1,9
736,0,3,17,49.26147541,-123.1740681,21,20,3,1,9
737,0,5,19,49.26173624,-123.1411107,19,30,3,1,3
738,0,6,13,49.26321113,-123.1682328,12,13,-1,1,9
740,0,10,24,49.26362063,-123.1939229,19,30,0,1,23
741,0,9,13,49.26285454,-123.1529753,17,40,0,1,9
742,0,7,16,49.26348088,-123.1859093,19,25,5,1,23
744,0,7,14,49.26111206,-123.1577391,15,0,3,1,9
747,0,9,8,49.26292918,-123.1576761,8,32,2,1,9
751,0,6,23,49.24513589,-123.0651801,7,0,2,1,6
752,0,1,20,49.28120643,-123.0655852,17,45,3,1,4
753,0,9,19,49.26228935,-123.0659174,19,27,-1,1,6
754,0,7,15,49.26228935,-123.0659174,23,5,4,1,6
755,0,7,0,49.26228935,-123.0659174,19,0,3,1,6
757,0,6,28,49.26228935,-123.0659174,17,40,0,1,6
759,0,6,19,49.26228935,-123.0659174,0,37,5,1,6
760,0,9,28,49.22026362,-123.0658753,7,47,1,1,21
763,0,6,4,49.22026362,-123.0658753,18,37,4,1,21
764,0,11,26,49.22313314,-123.0658241,21,55,4,1,21
767,0,11,8,49.2251661,-123.0657719,15,30,0,1,21
771,0,6,5,49.2251661,-123.0657719,7,53,5,1,21
774,0,2,29,49.23268627,-123.0655346,20,0,5,1,21
776,0,0,15,49.23268627,-123.0655346,15,58,2,1,21
778,0,10,24,49.23748079,-123.0654448,16,10,0,1,6
779,0,7,22,49.24405643,-123.0652337,17,40,4,1,6
782,0,9,25,49.2595368,-123.065955,11,5,5,1,6
783,0,0,2,49.2595368,-123.065955,20,48,3,1,6
784,0,3,4,49.27664425,-123.0683838,15,19,4,1,4
785,0,1,27,49.24968607,-123.1592416,8,37,3,1,0
786,0,1,13,49.24517845,-123.1533329,7,5,3,1,0
787,0,3,22,49.23200799,-123.0312628,22,20,1,1,14
789,0,7,4,49.2246316,-123.0322744,13,40,0,1,8
