YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
256737,5,6,23,49.26545455,-123.1457122,8,8,2,1,9
256740,5,4,14,49.26515328,-123.1265644,15,0,2,1,3
256741,5,8,14,49.26576199,-123.1646128,16,49,-1,1,9
256744,5,6,6,49.26450089,-123.1385345,14,21,-1,1,3
256749,5,7,1,49.26417408,-123.1739952,0,0,4,1,9
256751,5,4,22,49.26423125,-123.1778027,7,59,3,1,9
256764,5,1,12,49.26407477,-123.168167,14,53,1,1,9
256765,5,1,21,49.26344149,-123.1290066,14,33,3,1,3
256767,5,4,6,49.26331435,-123.1218316,22,40,1,1,3
256768,5,4,25,49.26331437,-123.1218178,8,0,-1,1,3
256770,5,9,9,49.2847069,-123.1109251,15,52,3,1,1
256773,5,9,16,49.28900669,-123.1282207,8,39,3,1,1
256775,5,0,8,49.27931651,-123.1132779,8,9,1,1,1
256782,5,7,0,49.28121159,-123.1161971,21,3,3,1,1
256784,5,6,6,49.28200288,-123.1071929,14,20,-1,1,1
256785,5,8,11,49.28200288,-123.1071929,16,41,3,1,1
256791,5,5,5,49.24896153,-123.1184161,15,5,3,1,17
256792,5,7,6,49.24951418,-123.1390972,12,18,2,1,16
256794,5,6,20,49.24884632,-123.1074509,20,20,-1,1,15
256797,5,7,24,49.28106701,-123.1075896,19,4,-1,1,1
256799,5,1,4,49.28276298,-123.1119245,12,48,0,1,1
256800,5,3,14,49.28340971,-123.1128748,18,52,0,1,1
256802,5,1,11,49.21947371,-123.1505206,10,47,0,1,7
256804,5,0,15,49.20785663,-123.0275544,2,38,1,1,8
256805,5,4,10,49.25702648,-123.122036,18,45,5,1,17
256813,5,6,28,49.26235665,-123.0736418,15,2,0,1,6
256814,5,11,0,49.26235665,-123.0736418,17,19,-1,1,6
256815,5,5,9,49.26500126,-123.0736045,22,10,0,1,4
256816,5,9,0,49.26376307,-123.1045282,16,30,1,1,11
256819,5,2,16,49.28144811,-123.1039881,16,37,-1,1,1
256825,5,2,24,49.28144811,-123.1039881,19,37,0,1,1
256829,5,1,12,49.29455589,-123.1367758,21,0,1,1,18
256830,5,1,23,49.29455589,-123.1367758,0,42,5,1,18
256831,5,6,10,49.29455589,-123.1367758,21,2,3,1,18
256838,5,2,2,49.25681128,-123.112498,13,7,-1,1,15
256846,5,7,22,49.28270584,-123.0838058,21,13,4,1,19
256852,5,5,29,49.2671936,-123.1007554,14,51,-1,1,11
256855,5,6,14,49.26320865,-123.0775328,16,26,0,1,11
256856,5,5,27,49.26200871,-123.0517743,16,15,4,1,5
256867,5,11,6,49.26549335,-123.1009306,17,8,5,1,11
256868,5,0,8,49.28134395,-123.099698,10,36,1,1,1
256869,5,2,13,49.28134395,-123.099698,20,57,3,1,1
256870,5,2,28,49.21711571,-123.1292567,22,28,4,1,10
256874,5,6,10,49.28121543,-123.0655714,19,55,3,1,4
256877,5,9,27,49.28423698,-123.1220069,19,30,0,1,22
256879,5,5,14,49.2808409,-123.1265633,14,1,5,1,22
256887,5,9,7,49.28637287,-123.1345805,12,2,1,1,22
256892,5,7,0,49.26341671,-123.1270135,13,15,3,1,3
256893,5,11,10,49.288084,-123.1161033,14,40,2,1,1
256901,5,7,15,49.21644768,-123.0828561,3,50,4,1,20
256917,5,5,0,49.28061942,-123.1315675,21,10,5,1,22
256920,5,3,13,49.27422973,-123.0985563,9,14,-1,1,19
256925,5,7,28,49.24854496,-123.0797083,6,31,3,1,6
256927,5,4,20,49.25190927,-123.0795763,16,44,1,1,6
256936,5,0,21,49.281352,-123.0774512,9,37,0,1,19
256937,5,8,0,49.20891889,-123.0824866,22,9,-1,1,20
256941,5,4,19,49.27784948,-123.1310652,16,39,0,1,1
256942,5,8,21,49.27784948,-123.1310652,21,2,-1,1,1
256943,5,10,24,49.27784948,-123.1310652,7,11,0,1,1
256950,5,2,26,49.27406668,-123.0998895,14,20,2,1,19
256956,5,11,21,49.28296303,-123.1351487,16,18,-1,1,22
256963,5,5,4,49.27580184,-123.1281589,8,41,2,1,1
256964,5,8,16,49.27580184,-123.1281589,18,8,1,1,1
256972,5,5,4,49.27679508,-123.1327809,16,12,2,1,1
256973,5,4,14,49.27231193,-123.0773271,11,10,2,1,19
256975,5,0,11,49.26237359,-123.0752637,16,36,4,1,6
256977,5,6,22,49.24987908,-123.0755057,15,48,1,1,6
256987,5,7,5,49.26356781,-123.1364977,10,55,1,1,3
256995,5,5,14,49.2724908,-123.1018522,9,59,5,1,1
257005,5,7,6,49.27236652,-123.0999686,11,19,2,1,19
257006,5,1,8,49.2712805,-123.0565954,16,12,4,1,4
257009,5,11,8,49.27145237,-123.1400386,7,12,0,1,3
257010,5,3,26,49.26601815,-123.0729325,8,42,5,1,4
257014,5,7,3,49.28818982,-123.1346405,16,20,-1,1,22
257021,5,10,10,49.28128341,-123.0722538,6,40,0,1,4
257023,5,0,28,49.27119521,-123.1021794,3,16,0,1,11
257024,5,7,12,49.21101178,-123.0736342,18,44,1,1,21
257038,5,7,23,49.26960229,-123.1376003,11,11,5,1,3
257049,5,11,0,49.23442176,-123.1451126,15,10,-1,1,16
257051,5,6,3,49.27051912,-123.1454934,11,22,3,1,3
257057,5,9,27,49.28123211,-123.0678401,15,37,0,1,4
257062,5,8,22,49.27067147,-123.1459475,16,51,0,1,9
257064,5,6,11,49.26963749,-123.1455733,23,29,4,1,9
257066,5,8,29,49.26956246,-123.1407893,13,20,0,1,3
257069,5,4,16,49.21945835,-123.1484882,12,5,4,1,7
257072,5,5,27,49.29278712,-123.1339791,23,49,4,1,22
257104,5,1,26,49.28043356,-123.101841,11,9,1,1,1
257108,5,6,2,49.26928381,-123.1070554,17,53,2,1,11
257112,5,3,24,49.28139606,-123.1018293,18,44,3,1,1
257117,5,8,16,49.28480581,-123.0632248,9,12,1,1,4
257118,5,6,13,49.2811897,-123.0633165,9,21,-1,1,4
257124,5,8,22,49.26699147,-123.1149266,21,38,0,1,3
257125,5,6,8,49.26688366,-123.1147889,18,18,1,1,11
257126,5,6,7,49.26711865,-123.1384044,18,35,0,1,3
257129,5,2,24,49.2660363,-123.0565894,10,22,0,1,4
257131,5,7,7,49.26653302,-123.1146232,16,30,3,1,11
257132,5,9,19,49.26653302,-123.1146232,22,31,-1,1,11
257153,5,3,24,49.26600602,-123.1360646,7,29,3,1,3
257170,5,1,26,49.26223968,-123.0578907,18,53,1,1,4
257171,5,10,29,49.24166772,-123.0576743,0,20,5,1,14
257172,5,2,1,49.26407218,-123.1008452,23,44,5,1,11
257178,5,3,11,49.31128912,-123.1423528,17,2,4,1,18
257179,5,5,1,49.31128912,-123.1423528,7,15,-1,1,18
257189,5,5,16,49.27266765,-123.1600992,13,18,0,1,9
257192,5,5,4,49.26434797,-123.1385341,12,30,2,1,3
257200,5,7,28,49.2646653,-123.1576404,13,49,3,1,9
257203,5,10,21,49.26392169,-123.1858834,14,30,4,1,9
257207,5,9,21,49.26217014,-123.0697931,14,0,1,1,6
257216,5,2,27,49.28689676,-123.0312975,23,53,3,1,5
257217,5,7,7,49.26223538,-123.0659174,12,34,3,1,6
257219,5,3,23,49.26201656,-123.0542758,15,31,2,1,5
257232,5,7,29,49.26119684,-123.0336589,19,48,4,1,14
257238,5,5,4,49.26078999,-123.040132,12,58,2,1,14
257243,5,11,26,49.20691303,-123.0512637,22,9,4,1,8
257255,5,5,23,49.26114651,-123.1129752,15,47,0,1,11
257258,5,6,15,49.26607422,-123.0260061,22,37,1,1,5
257262,5,6,0,49.28115283,-123.0462258,4,42,0,1,5
257267,5,1,11,49.26009615,-123.1010158,5,43,0,1,11
257277,5,0,15,49.23620426,-123.0449475,18,22,1,1,14
257281,5,11,6,49.24457019,-123.0440208,5,32,5,1,14
257284,5,7,30,49.27642237,-123.0436505,17,18,5,1,5
257285,5,0,21,49.26842349,-123.1715358,0,0,0,1,9
257294,5,4,27,49.28134428,-123.099313,23,12,1,1,19
257295,5,8,3,49.28134428,-123.099313,15,38,2,1,19
257296,5,8,11,49.28134428,-123.099313,16,57,3,1,19
257302,5,7,29,49.27854755,-123.0984137,17,43,4,1,19
257303,5,4,22,49.2629305,-123.0411371,18,55,3,1,5
257306,5,1,19,49.2641495,-123.1723869,15,45,1,1,9
257319,5,5,29,49.2641826,-123.1743113,2,20,-1,1,9
257320,5,4,22,49.26291365,-123.0377972,18,54,3,1,5
257328,5,3,5,49.25523844,-123.0442502,12,34,5,1,14
257330,5,3,20,49.2556018,-123.0337376,9,35,-1,1,14
257332,5,2,26,49.25060928,-123.034325,8,49,2,1,14
257334,5,9,28,49.22540992,-123.1764135,14,40,1,1,7
257335,5,5,20,49.28860537,-123.0329763,2,47,4,1,5
257344,5,6,11,49.23620827,-123.033065,18,54,4,1,14
257345,5,2,6,49.25813947,-123.0300287,17,15,3,1,14
257350,5,7,25,49.20695545,-123.0337731,17,40,0,1,8
257351,5,11,8,49.26246447,-123.1802016,16,30,0,1,9
257355,5,7,17,49.26215112,-123.030842,13,21,-1,1,14
257357,5,0,5,49.26937535,-123.0264615,2,54,5,1,5
257367,5,9,22,49.25285067,-123.1152511,17,0,2,1,17
257368,5,8,19,49.20596792,-123.0262492,2,13,4,1,8
257375,5,9,12,49.25084909,-123.1009832,19,23,-1,1,15
257376,5,5,4,49.27225755,-123.1875507,20,15,2,1,23
257384,5,3,16,49.28226641,-123.1042785,18,34,2,1,1
257385,5,10,13,49.28226641,-123.1042785,16,14,3,1,1
257387,5,4,4,49.26748404,-123.0977319,13,30,-1,1,11
257388,5,10,18,49.26748404,-123.0977319,21,45,1,1,11
257390,5,10,19,49.20740244,-123.1004691,15,3,2,1,20
257393,5,9,30,49.26089068,-123.0975814,13,7,3,1,11
257394,5,8,22,49.28213557,-123.0996446,21,30,0,1,1
257396,5,9,29,49.2789449,-123.1161093,23,10,2,1,1
257403,5,10,6,49.28163114,-123.0895101,12,14,3,1,19
257421,5,3,28,49.26378038,-123.205579,9,19,0,1,23
257426,5,4,21,49.26896925,-123.2063429,18,2,2,1,23
257427,5,6,17,49.24440046,-123.076308,8,35,3,1,6
257430,5,6,16,49.26384508,-123.2096203,12,51,2,1,23
257439,5,4,22,49.24266863,-123.1392428,19,36,3,1,16
257443,5,6,20,49.28118132,-123.0771072,8,44,-1,1,4
257445,5,7,25,49.28126688,-123.095078,8,4,0,1,19
257447,5,9,9,49.25943477,-123.0960118,0,24,3,1,11
257448,5,0,4,49.2811473,-123.0741235,14,59,4,1,4
257462,5,0,14,49.23449341,-123.081128,8,46,0,1,6
257464,5,5,4,49.23341119,-123.0314972,8,52,2,1,14
257472,5,10,28,49.23084329,-123.0905995,11,34,4,1,20
257475,5,2,15,49.28267905,-123.1055306,2,18,5,1,1
257477,5,1,7,49.28084213,-123.1075891,21,9,3,1,1
257480,5,1,6,49.2824725,-123.1146189,3,58,2,1,1
257481,5,10,21,49.2824725,-123.1146189,16,39,4,1,1
257484,5,9,30,49.26250486,-123.0926779,14,20,3,1,11
257487,5,6,11,49.28123251,-123.093098,0,31,4,1,19
257490,5,9,6,49.28306759,-123.0930189,17,32,0,1,19
257496,5,2,2,49.28131938,-123.1163486,13,5,-1,1,1
257497,5,10,6,49.28131938,-123.1163486,11,53,3,1,1
257500,5,1,5,49.23168322,-123.1551042,16,56,1,1,7
257503,5,6,4,49.22749983,-123.0365066,17,23,4,1,8
257506,5,2,23,49.22647324,-123.0995326,22,59,-1,1,20
257515,5,0,24,49.22277043,-123.1060073,14,47,3,1,13
257519,5,11,8,49.2795288,-123.1076275,9,45,0,1,1
257529,5,2,3,49.28303316,-123.0910801,13,4,0,1,19
257533,5,8,12,49.29755102,-123.1369904,18,4,4,1,18
257534,5,9,8,49.20902129,-123.1196662,15,4,2,1,10
257535,5,4,8,49.24109921,-123.1188919,9,36,3,1,17
257538,5,7,7,49.23351789,-123.1172528,14,18,3,1,13
257539,5,4,9,49.26585517,-123.1178105,8,46,4,1,3
257548,5,7,8,49.22028338,-123.0775068,19,38,4,1,20
257556,5,2,28,49.30133106,-123.1566019,12,0,4,1,18
257557,5,3,3,49.21491733,-123.029975,20,2,3,1,8
257562,5,4,2,49.21386445,-123.1403565,5,59,4,1,10
257564,5,9,8,49.213163,-123.1065222,19,45,2,1,10
257577,5,7,22,49.28164212,-123.1174219,19,37,4,1,1
257579,5,11,21,49.28553979,-123.1234127,12,41,-1,1,22
257584,5,6,19,49.21301458,-123.0907043,20,0,5,1,20
257588,5,3,11,49.29727187,-123.1294524,17,13,4,1,18
257589,5,4,7,49.27076571,-123.0885282,7,31,2,1,19
257590,5,4,25,49.21300087,-123.1403815,1,10,-1,1,10
257595,5,7,19,49.21045814,-123.1302005,11,30,1,1,10
257598,5,11,4,49.20886287,-123.1405208,15,38,3,1,10
257603,5,8,8,49.28310245,-123.1230766,7,10,0,1,1
257606,5,11,23,49.2624644,-123.086864,9,25,1,1,11
257608,5,5,26,49.28108452,-123.0867729,15,25,3,1,19
257609,5,4,4,49.28854448,-123.1312998,10,45,-1,1,22
257615,5,8,21,49.27036269,-123.0861905,18,3,-1,1,19
257616,5,6,9,49.26053429,-123.122347,5,46,2,1,3
257634,5,0,2,49.2810323,-123.0844079,18,50,2,1,19
257635,5,2,17,49.2810323,-123.0844079,17,15,0,1,19
257636,5,7,13,49.2810323,-123.0844079,16,14,2,1,19
257639,5,4,16,49.27645048,-123.0997981,12,17,4,1,19
257644,5,6,3,49.27649293,-123.0656202,8,53,3,1,4
257661,5,2,9,49.28199387,-123.1072066,20,43,-1,1,1
257665,5,2,18,49.28388358,-123.106427,1,11,1,1,1
257669,5,11,0,49.28859219,-123.1288659,16,45,-1,1,22
257676,5,2,18,49.23153391,-123.1132785,23,6,1,1,13
257682,5,8,8,49.26437145,-123.1858851,15,30,0,1,23
257683,5,11,4,49.26877402,-123.1381891,22,30,3,1,3
257686,5,0,22,49.27254286,-123.1526066,15,13,1,1,9
257687,5,7,12,49.27255186,-123.1526066,6,44,1,1,9
257688,5,4,12,49.2476342,-123.1532993,21,21,0,1,0
257691,5,6,15,49.26989814,-123.1527084,2,56,1,1,9
257697,5,9,29,49.21095928,-123.0713,15,28,2,1,21
257699,5,6,21,49.26044024,-123.1176327,18,13,0,1,3
257700,5,9,21,49.25694958,-123.1181329,20,30,1,1,3
257710,5,0,3,49.27983188,-123.110543,10,8,3,1,1
257712,5,6,4,49.27870583,-123.1122591,15,48,4,1,1
257713,5,6,24,49.27073957,-123.0874146,6,16,3,1,19
257729,5,11,18,49.2506569,-123.0237857,18,29,3,1,14
257731,5,6,1,49.2263788,-123.0235268,19,44,1,1,8
257740,5,5,5,49.20532984,-123.0235306,18,38,3,1,8
257741,5,10,23,49.20532984,-123.0235306,12,21,-1,1,8
257744,5,10,16,49.20550075,-123.0235307,12,5,-1,1,8
257745,5,5,3,49.25150251,-123.0235113,12,6,1,1,14
257749,5,6,12,49.28370827,-123.1363058,10,1,5,1,22
257750,5,6,20,49.28956524,-123.127452,7,35,-1,1,1
257751,5,10,20,49.28956524,-123.127452,19,9,3,1,1
257752,5,11,11,49.28956524,-123.127452,23,32,3,1,1
257760,5,6,8,49.27907494,-123.1291848,15,15,1,1,1
257763,5,6,6,49.27803869,-123.1307907,8,48,-1,1,22
257765,5,9,15,49.27699334,-123.1324653,1,34,2,1,22
257767,5,9,15,49.27694844,-123.1323964,10,55,2,1,1
257769,5,5,20,49.28222848,-123.1244219,16,53,4,1,22
257770,5,10,0,49.25994024,-123.1459021,16,18,4,1,3
257771,5,4,28,49.25904967,-123.1459407,18,14,2,1,9
257778,5,9,28,49.26715472,-123.1456484,17,51,1,1,9
257796,5,4,8,49.286553,-123.117901,9,49,3,1,1
257798,5,2,18,49.28674242,-123.1259321,7,0,1,1,22
257821,5,4,29,49.2190541,-123.1166693,4,38,3,1,13
257825,5,0,18,49.26320448,-123.1149316,0,37,4,1,3
257828,5,6,27,49.24904565,-123.1152972,17,51,-1,1,15
257829,5,10,17,49.28659932,-123.0565304,8,35,0,1,4
257836,5,3,11,49.29056918,-123.1306038,9,42,4,1,22
257839,5,2,10,49.24866165,-123.0921436,16,20,0,1,15
257842,5,0,22,49.2183292,-123.1377875,18,37,1,1,10
257854,5,9,29,49.23280847,-123.05548,0,31,2,1,21
257856,5,4,25,49.25668706,-123.0776188,8,55,-1,1,11
257858,5,6,9,49.26964932,-123.0773642,6,8,2,1,4
257860,5,3,22,49.26874979,-123.0773902,13,54,1,1,19
257865,5,0,4,49.28134324,-123.0771075,17,23,4,1,19
257867,5,5,14,49.26629408,-123.0774139,16,1,5,1,19
257871,5,11,20,49.28306125,-123.0772064,14,18,5,1,19
257878,5,9,15,49.28140466,-123.1022693,14,42,2,1,1
257879,5,9,27,49.28140466,-123.1022693,14,46,0,1,1
257882,5,9,21,49.26922761,-123.1094333,11,36,1,1,11
257886,5,11,19,49.25958848,-123.0698445,21,8,4,1,6
257888,5,4,16,49.26958225,-123.0696799,4,0,4,1,4
257895,5,3,1,49.28027707,-123.0704374,22,10,1,1,4
257905,5,4,15,49.27265021,-123.1597004,16,27,3,1,9
257906,5,9,10,49.27269184,-123.1621063,4,5,4,1,9
257908,5,11,6,49.26871755,-123.0715894,15,24,5,1,4
257909,5,3,13,49.26369106,-123.2000946,10,31,-1,1,23
257917,5,7,7,49.27907494,-123.1291848,22,35,3,1,1
257918,5,9,7,49.27907494,-123.1291848,8,49,1,1,1
257919,5,6,6,49.28522564,-123.1386751,15,50,-1,1,22
257920,5,10,7,49.27841046,-123.1281382,12,16,4,1,1
257925,5,11,29,49.27410904,-123.1214045,21,39,0,1,1
257930,5,2,16,49.28726371,-123.1418298,12,8,-1,1,22
257931,5,3,18,49.28726371,-123.1418298,2,11,4,1,22
257943,5,11,7,49.2484952,-123.0733601,18,34,-1,1,6
257945,5,0,11,49.25800406,-123.1851191,11,24,4,1,9
257949,5,10,14,49.2847823,-123.0565283,1,41,4,1,4
257954,5,10,4,49.28363111,-123.1163816,8,9,1,1,1
257956,5,0,6,49.28297544,-123.1154038,4,30,-1,1,1
257957,5,2,26,49.28297544,-123.1154038,18,48,2,1,1
257958,5,3,12,49.28297544,-123.1154038,20,25,5,1,1
257960,5,5,29,49.26197818,-123.0986694,19,13,-1,1,11
257964,5,8,7,49.25962859,-123.0774859,14,12,-1,1,6
257971,5,5,13,49.25987507,-123.0965762,12,6,4,1,11
257972,5,8,23,49.25987507,-123.0965762,20,13,1,1,11
257973,5,9,11,49.25987507,-123.0965762,23,4,5,1,11
257977,5,7,18,49.26019511,-123.1010022,7,3,0,1,11
257981,5,6,19,49.25969646,-123.0833545,9,43,5,1,11
257988,5,3,18,49.25552676,-123.0899164,22,0,4,1,15
257990,5,8,19,49.26936523,-123.030984,14,7,4,1,5
257995,5,6,7,49.26964932,-123.0773642,8,25,0,1,4
258005,5,3,9,49.26953535,-123.0338158,6,57,2,1,5
258006,5,5,4,49.26953535,-123.0338158,23,13,2,1,5
258017,5,11,5,49.24770686,-123.0819191,14,15,4,1,6
258019,5,8,0,49.24709231,-123.033773,5,0,-1,1,14
258020,5,0,9,49.24554183,-123.0902142,17,17,2,1,15
258021,5,5,22,49.24548971,-123.0878097,19,23,-1,1,6
258022,5,10,4,49.24455289,-123.042166,12,22,1,1,14
258026,5,9,21,49.26866983,-123.0995762,10,0,1,1,11
258028,5,9,9,49.26914554,-123.1007731,16,4,3,1,11
258030,5,2,7,49.26900174,-123.1006353,18,55,4,1,11
258034,5,2,25,49.24286826,-123.0666197,17,56,1,1,6
258037,5,10,0,49.24025769,-123.0834729,9,0,4,1,6
258046,5,4,26,49.24020864,-123.0763702,14,28,0,1,6
258057,5,6,22,49.24006247,-123.0653658,17,43,1,1,6
258058,5,8,21,49.23931236,-123.0712858,22,46,-1,1,6
258061,5,1,24,49.23469768,-123.0847823,15,0,-1,1,6
258062,5,4,21,49.26823527,-123.1027644,14,41,2,1,11
258063,5,9,15,49.23376218,-123.0847669,5,37,2,1,6
258066,5,2,10,49.23280847,-123.0554937,11,7,0,1,21
258067,5,10,27,49.23256749,-123.0686938,8,51,3,1,21
258078,5,6,14,49.23274212,-123.0770593,17,56,0,1,6
258082,5,6,28,49.23283378,-123.0588728,12,58,0,1,6
258085,5,4,16,49.23298466,-123.0431039,5,20,4,1,8
258087,5,9,3,49.23290371,-123.0430901,3,52,4,1,8
258088,5,9,29,49.23290371,-123.0430901,10,15,2,1,8
258090,5,2,3,49.23279422,-123.065521,13,44,0,1,21
258091,5,9,29,49.23050859,-123.066974,16,44,2,1,21
258093,5,3,4,49.23098721,-123.0906135,10,43,4,1,20
258097,5,6,13,49.22926262,-123.0374006,8,34,-1,1,8
258102,5,1,10,49.22929661,-123.0431145,17,25,-1,1,8
258104,5,2,0,49.22736205,-123.0907031,18,35,4,1,20
258107,5,2,9,49.2252165,-123.0717737,1,18,-1,1,21
258117,5,6,7,49.22532799,-123.0800555,9,0,0,1,20
258118,5,7,5,49.22532799,-123.0800555,13,30,1,1,20
258119,5,7,29,49.22532799,-123.0800555,16,11,4,1,20
258125,5,5,22,49.22527588,-123.0773223,11,22,-1,1,21
258127,5,1,12,49.22541215,-123.0880213,17,4,1,1,20
258132,5,8,16,49.2246406,-123.0322744,8,47,1,1,8
258138,5,6,18,49.2251661,-123.0657582,20,2,4,1,21
258139,5,8,9,49.2251661,-123.0657582,9,21,1,1,21
258140,5,7,18,49.26692375,-123.0774149,12,17,0,1,19
258149,5,0,22,49.22173986,-123.090885,14,9,1,1,20
258150,5,0,17,49.22127109,-123.0658766,12,44,3,1,21
258151,5,11,2,49.22012452,-123.033837,21,6,1,1,8
258155,5,2,16,49.22015808,-123.0412938,6,59,-1,1,8
258156,5,7,16,49.22015809,-123.0412801,10,25,5,1,8
258160,5,5,24,49.21931098,-123.1018527,23,32,1,1,20
258163,5,10,10,49.21827663,-123.0909473,21,36,0,1,20
258164,5,6,0,49.21813382,-123.0770503,0,36,0,1,21
258165,5,7,14,49.21813382,-123.0770503,16,0,3,1,21
258167,5,2,15,49.21838802,-123.0977449,17,28,5,1,20
258169,5,10,10,49.26641104,-123.1007263,17,21,0,1,11
258175,5,7,12,49.21376208,-123.0770984,17,16,1,1,21
258184,5,9,21,49.26552763,-123.102855,11,49,1,1,11
258185,5,3,19,49.26423413,-123.0774931,10,2,5,1,11
258186,5,7,11,49.26467132,-123.1048187,11,22,0,1,11
258189,5,3,3,49.26372852,-123.1029337,13,29,3,1,11
258191,5,8,19,49.26290588,-123.0338388,11,20,4,1,5
258198,5,0,23,49.26232305,-123.0698071,16,15,2,1,6
258199,5,4,9,49.26232305,-123.0698071,23,29,4,1,6
258204,5,5,4,49.26248067,-123.0891318,6,38,2,1,11
258208,5,0,4,49.26290276,-123.1008978,8,59,4,1,11
258212,5,10,13,49.26213239,-123.0565849,9,42,3,1,5
258220,5,10,25,49.26189842,-123.0338243,17,48,1,1,14
258223,5,6,3,49.26189847,-123.0336457,20,17,3,1,14
258225,5,10,22,49.28204675,-123.0871046,18,59,5,1,19
258230,5,10,12,49.27570679,-123.0311804,15,4,2,1,5
258239,5,1,13,49.28139567,-123.1022692,9,30,2,1,1
258241,5,4,20,49.28123957,-123.0704113,9,49,1,1,4
258254,5,11,2,49.28116454,-123.0388423,0,38,1,1,5
258256,5,11,22,49.28119784,-123.0914617,18,55,0,1,19
258264,5,3,4,49.28115641,-123.0361887,17,40,4,1,5
258265,5,4,5,49.28115641,-123.0361887,14,51,0,1,5
258266,5,4,19,49.28115641,-123.0361887,14,52,0,1,5
258273,5,4,23,49.28023168,-123.0545845,2,14,4,1,5
258284,5,8,1,49.2589566,-123.1412127,16,16,0,1,3
258285,5,4,12,49.26360734,-123.1410336,21,57,0,1,3
258286,5,8,8,49.27942922,-123.0741209,16,43,0,1,4
258288,5,11,19,49.28231186,-123.0812752,13,13,4,1,19
258291,5,8,27,49.25973709,-123.0891819,22,27,5,1,11
258294,5,9,28,49.24259131,-123.0903188,15,48,1,1,6
258296,5,6,3,49.23282229,-123.0905482,6,20,3,1,20
258299,5,2,18,49.22451047,-123.0908077,9,45,1,1,20
258303,5,4,16,49.21911321,-123.0909214,22,19,4,1,20
258316,5,5,26,49.25668725,-123.089781,17,22,3,1,6
258317,5,10,13,49.25668725,-123.089781,21,8,3,1,6
258319,5,2,2,49.21107126,-123.0911401,6,35,-1,1,20
258320,5,9,3,49.21107126,-123.0911401,20,39,4,1,20
258321,5,11,12,49.21107126,-123.0911401,1,11,4,1,20
258326,5,6,2,49.24356357,-123.061812,16,6,2,1,6
258329,5,7,17,49.27853069,-123.0970663,18,25,-1,1,19
258337,5,1,21,49.25788087,-123.0495848,8,25,3,1,14
258341,5,4,13,49.2836311,-123.1163953,9,42,1,1,1
258343,5,4,8,49.25083652,-123.1390597,8,45,3,1,16
258348,5,3,11,49.28032471,-123.121406,3,25,4,1,1
258349,5,7,22,49.26171234,-123.138568,23,38,4,1,3
258353,5,10,25,49.25892363,-123.1387251,18,31,1,1,3
258354,5,9,2,49.2580151,-123.1387363,15,33,3,1,3
258361,5,0,23,49.23800885,-123.1394495,7,21,2,1,16
258363,5,5,27,49.23434758,-123.1396178,23,43,4,1,16
258365,5,0,17,49.2324586,-123.1395987,15,27,3,1,7
258366,5,5,13,49.23246759,-123.1395988,13,17,4,1,7
258371,5,2,14,49.21932485,-123.1401385,0,1,4,1,10
258372,5,4,14,49.2150339,-123.1403049,11,32,2,1,10
258375,5,4,28,49.20853902,-123.1405336,22,49,2,1,10
258379,5,8,21,49.26534649,-123.1384957,8,46,-1,1,3
258380,5,5,4,49.26450089,-123.1385345,15,58,2,1,3
258385,5,7,7,49.27788909,-123.1103737,16,29,3,1,1
258386,5,11,22,49.27993622,-123.1142555,16,59,0,1,1
258389,5,5,17,49.26587113,-123.1197898,21,40,1,1,3
258390,5,2,28,49.26328938,-123.1199073,0,39,4,1,3
258391,5,1,26,49.28299844,-123.0894576,16,8,1,1,19
258404,5,5,28,49.28057393,-123.1152057,2,55,5,1,1
258405,5,9,23,49.28057393,-123.1152057,13,4,3,1,1
258412,5,8,6,49.28660907,-123.1158248,1,33,5,1,1
258413,5,0,3,49.2859064,-123.1168682,10,17,3,1,1
258415,5,8,13,49.27779984,-123.127188,6,29,5,1,1
258416,5,8,19,49.27779984,-123.127188,7,59,4,1,1
258417,5,8,27,49.27779984,-123.127188,20,22,5,1,1
258418,5,10,13,49.27779984,-123.127188,3,44,3,1,1
258419,5,2,0,49.27884498,-123.125637,3,1,4,1,1
258420,5,0,4,49.28312455,-123.1191579,17,42,4,1,1
258423,5,10,14,49.28527776,-123.1158492,13,8,4,1,1
258427,5,3,27,49.21115153,-123.0799227,16,32,-1,1,20
258430,5,5,21,49.28124124,-123.093428,19,36,5,1,19
258432,5,9,13,49.28813565,-123.1268708,7,50,0,1,1
258433,5,9,13,49.23578516,-123.0342323,8,42,0,1,14
258434,5,10,1,49.23578516,-123.0342323,11,54,5,1,14
258439,5,0,23,49.24174156,-123.0285075,6,30,2,1,14
258440,5,4,25,49.24004105,-123.0301276,0,18,-1,1,14
258458,5,7,13,49.23228867,-123.0235983,23,50,2,1,8
258468,5,4,14,49.25668724,-123.0897948,22,38,2,1,11
258469,5,6,13,49.24356357,-123.061812,23,0,-1,1,6
258470,5,7,4,49.24356357,-123.061812,22,1,0,1,6
258471,5,10,2,49.24356357,-123.061812,17,56,-1,1,6
258482,5,6,5,49.23412954,-123.0358521,13,2,5,1,14
258492,5,9,5,49.23593539,-123.0423372,2,17,-1,1,14
258502,5,3,10,49.24020864,-123.0763702,18,57,3,1,6
258503,5,6,11,49.24020864,-123.0763702,15,30,4,1,6
258504,5,7,1,49.24020864,-123.0763702,12,8,4,1,6
