YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
2004,12,9,49.28031965,-123.13121940000002,19,20,3,1,22
2014,8,4,49.2844136,-123.11238090000002,14,0,0,1,1
2008,10,25,49.27447579,-123.100081,17,0,5,1,1
2005,11,9,49.2906695,-123.0491613,18,0,2,1,5
2003,11,16,49.28564779999999,-123.1242673,14,45,6,1,22
2005,1,31,49.26403982,-123.1682565,17,30,0,1,9
2003,3,3,49.20856888,-123.134106,12,0,0,1,10
2006,6,12,49.27804686,-123.1061558,19,29,0,1,1
2005,6,20,49.29480481,-123.13660459999998,15,30,0,1,18
2016,8,3,49.27752384,-123.0468265,16,30,2,1,5
2011,5,30,49.26437124,-123.171295,16,15,0,1,9
2014,10,26,49.26810034,-123.1544156,12,9,6,1,9
2008,11,24,49.2807224,-123.1187972,12,30,0,1,1
2010,12,26,49.23208429,-123.0611392,10,0,6,1,21
2013,6,9,49.28265536,-123.1261967,0,0,6,1,22
2003,8,19,49.2809027,-123.1224716,23,10,1,1,1
2016,1,15,49.27896684,-123.1156679,17,30,4,1,1
2016,3,8,49.28079732,-123.1317475,1,11,1,1,22
2013,7,2,49.26274759,-123.09711920000001,13,0,1,1,11
2009,9,19,49.26728168,-123.15682369999999,12,0,5,1,9
2011,9,16,49.2325937,-123.09995420000001,13,11,4,1,20
2004,10,7,49.28343469,-123.06810690000002,20,0,3,1,4
2005,10,9,49.26310952,-123.1112293,12,0,6,1,11
2009,12,28,49.28239004,-123.1032324,23,48,0,1,1
2012,6,15,49.2582096,-123.0264862,21,38,4,1,14
2012,6,25,49.23976743,-123.05364679999998,1,0,0,1,14
2009,10,31,49.27768464,-123.04416670000002,16,0,5,1,5
2010,8,15,49.25916093,-123.06215060000001,3,30,6,1,6
2016,9,18,49.27116754,-123.06956840000001,16,22,6,1,4
2017,3,15,49.28436461,-123.1104892,16,0,2,1,1
2010,9,17,49.28900516,-123.12822450000002,22,30,4,1,22
2015,2,2,49.23358553,-123.1201479,14,31,0,1,13
2003,2,25,49.28245092,-123.11826429999999,18,0,1,1,1
2015,5,12,49.28358042,-123.13890020000001,21,0,1,1,22
2005,11,1,49.22165293,-123.0473465,20,0,1,1,8
2006,8,18,49.22862923,-123.1114511,16,0,4,1,13
2009,5,25,49.25977273,-123.03362609999999,9,47,0,1,14
2007,4,9,49.22283659,-123.1624696,21,30,0,1,7
2005,8,14,49.2739836,-123.0388432,23,30,6,1,5
2015,10,30,49.28262067,-123.10699199999999,14,39,4,1,1
2003,9,9,49.21891222,-123.0323111,18,0,1,1,8
2003,9,2,49.26196882,-123.1009648,7,30,1,1,11
2014,8,5,49.28176609,-123.11544779999998,15,0,1,1,1
2015,10,4,49.28386193,-123.0559334,19,0,6,1,5
2008,12,11,49.26303092,-123.10769769999999,12,39,3,1,11
2011,3,18,49.20903083,-123.14057890000001,17,50,4,1,10
2004,10,21,49.25961379,-123.0963162,13,38,3,1,11
2014,7,31,49.26934839,-123.0468098,15,56,3,1,5
2003,3,26,49.22136402,-123.0579747,22,0,2,1,21
2015,5,14,49.28414268,-123.11707870000001,17,50,3,1,1
2008,11,12,49.27383513,-123.0611855,21,30,2,1,4
2009,5,13,49.27300725,-123.07233970000001,17,0,2,1,4
2003,5,11,49.25841199,-123.1050403,23,0,6,1,11
2007,10,12,49.26340653,-123.1266193,12,0,4,1,3
2013,10,15,49.28004854,-123.11768629999999,21,44,1,1,1
2004,2,5,49.27703335,-123.12645990000001,21,30,3,1,1
2003,8,12,49.21452897,-123.0699683,22,45,1,1,21
2012,1,14,49.28232375,-123.1086192,10,24,5,1,1
2015,3,18,49.27860141,-123.1220114,14,0,2,1,1
2009,4,22,49.2676318,-123.1776813,7,30,2,1,9
2005,7,24,49.25829401,-123.1558387,15,0,6,1,9
2005,1,23,49.2768204,-123.1225682,20,0,6,1,1
2013,7,30,49.26961638,-123.19035179999999,23,0,1,1,23
2014,4,3,49.28276102,-123.11761820000001,20,23,3,1,1
2003,1,10,49.28765197,-123.1382443,22,30,4,1,22
2015,1,16,49.28039974,-123.1021433,10,45,4,1,1
2015,11,13,49.28276102,-123.11761820000001,15,30,4,1,1
2006,8,20,49.24637287,-123.1664389,8,0,6,1,0
2005,8,23,49.28441304,-123.11332479999999,8,30,1,1,1
2005,2,16,49.27154843,-123.09326440000001,12,21,2,1,19
2015,1,6,49.28094151,-123.10712790000001,15,4,1,1,1
2007,7,29,49.27962881,-123.06503490000001,4,0,6,1,4
2003,11,28,49.24311996,-123.0607303,3,0,4,1,6
2014,10,17,49.23079125,-123.0798121,18,0,4,1,20
2008,5,1,49.23206958,-123.03171280000001,17,50,3,1,14
2017,6,23,49.2659028,-123.1237855,11,12,4,1,3
2006,9,2,49.26490601,-123.16655779999999,0,0,5,1,9
2007,8,4,49.23903673,-123.0311614,6,33,5,1,14
2005,6,10,49.24849397,-123.09021990000001,21,30,4,1,15
2009,11,25,49.25082353,-123.07985490000002,22,50,2,1,6
2010,5,8,49.28341692,-123.11295600000001,23,25,5,1,1
2003,5,8,49.26395367,-123.08514960000001,19,0,3,1,11
2014,6,9,49.2582096,-123.0264862,15,11,0,1,14
2004,12,29,49.26886256,-123.14571459999999,15,45,2,1,9
2006,1,31,49.25280615,-123.1827604,0,0,1,1,2
2003,4,20,49.27812825,-123.11499979999999,15,30,6,1,1
2016,12,14,49.27922333,-123.0682699,16,30,2,1,4
2007,5,25,49.21470579,-123.08684270000002,16,30,4,1,20
2008,2,10,49.27738944,-123.12574769999999,17,45,6,1,1
2010,1,17,49.27046821,-123.05284579999999,6,0,6,1,5
2015,9,30,49.248552399999994,-123.0758808,16,10,2,1,6
2007,10,1,49.27116754,-123.06956840000001,18,21,0,1,4
2003,5,9,49.20532936,-123.1347663,21,0,4,1,10
2011,8,12,49.23363677,-123.1546616,14,40,4,1,7
2003,10,28,49.23120955,-123.06547859999999,11,0,1,1,21
2006,3,17,49.27735345,-123.0848983,9,0,4,1,19
2010,8,11,49.26274759,-123.09711920000001,16,58,2,1,11
2015,7,12,49.29193027,-123.142668,15,15,6,1,22
2013,8,10,49.24060564,-123.06528929999999,10,0,5,1,6
2003,10,28,49.28429114,-123.1089453,9,30,1,1,1
2005,4,10,49.26689604,-123.11830069999999,12,0,6,1,3
2012,1,28,49.28220326,-123.09267050000001,1,0,5,1,19
2007,8,12,49.24871871,-123.03898400000001,1,4,6,1,14
2007,5,25,49.26252327,-123.1384825,18,0,4,1,3
2003,2,21,49.26731223,-123.15410690000002,21,0,4,1,9
2004,12,15,49.26080308,-123.1412584,22,0,2,1,3
2006,8,7,49.28314504,-123.0995014,21,30,0,1,19
2008,1,19,49.2127266,-123.1368621,23,0,5,1,10
2008,4,28,49.25816372,-123.03698590000002,18,55,0,1,14
2008,6,13,49.25064874,-123.0341074,15,42,4,1,14
2015,10,12,49.26337752,-123.12739679999999,18,45,0,1,3
2003,2,12,49.26235674,-123.06867530000001,20,30,2,1,4
2016,5,26,49.27739871,-123.0327382,0,15,3,1,5
2004,2,14,49.27863045,-123.1238787,19,12,5,1,1
2006,9,11,49.27131559,-123.1464652,19,45,0,1,9
2010,2,23,49.26335275,-123.1213332,9,30,1,1,3
2008,4,26,49.20798216,-123.131571,0,0,5,1,10
2015,12,2,49.23434352,-123.139624,0,0,2,1,7
2006,9,4,49.27089153,-123.16210900000002,21,0,0,1,9
2005,3,29,49.25970856,-123.133991,22,0,1,1,3
2004,10,13,49.28276102,-123.11761820000001,14,0,2,1,1
2014,7,13,49.282467600000004,-123.1070582,13,14,6,1,1
2012,11,12,49.28236741,-123.1144553,12,30,0,1,1
2016,7,23,49.25649139,-123.0975858,14,0,5,1,15
2017,1,19,49.2345152,-123.10350449999999,17,0,3,1,15
2016,3,29,49.25848133,-123.1087446,18,0,1,1,11
2012,10,10,49.27932119,-123.11327730000001,22,0,2,1,1
2010,5,2,49.22175714,-123.0940257,1,30,6,1,20
2008,3,8,49.27353623,-123.1315922,16,0,5,1,1
2014,7,24,49.28472338,-123.12723770000001,20,0,3,1,22
2016,12,13,49.27944712,-123.1000185,11,47,1,1,1
2014,8,20,49.27116754,-123.06956840000001,14,43,2,1,4
2004,5,8,49.24020697,-123.0823324,23,0,5,1,6
2005,7,5,49.28503812,-123.1240926,14,20,1,1,22
2005,9,12,49.26144024,-123.071161,13,0,0,1,6
2009,8,22,49.2805089,-123.10330259999998,8,18,5,1,1
2010,4,19,49.22807941,-123.1557997,17,0,0,1,7
2017,5,10,49.22634862,-123.06576670000001,11,26,2,1,21
2014,2,21,49.28720669,-123.1310091,18,0,4,1,22
2003,7,11,49.2882681,-123.13707360000001,23,0,4,1,22
2003,11,3,49.27662698,-123.09660490000002,19,30,0,1,19
2006,11,15,49.27453451,-123.11994720000001,8,0,2,1,1
2005,5,22,49.2774,-123.0849592,19,30,6,1,19
2005,6,23,49.28749785,-123.120609,19,30,3,1,1
2003,8,3,49.28121313,-123.1161914,12,0,6,1,1
2003,1,22,49.28427637,-123.10877240000002,22,0,2,1,1
2011,2,3,49.29193174,-123.13470459999999,12,40,3,1,22
2003,3,30,49.26387614,-123.1681114,11,0,6,1,9
2015,11,22,49.26638193,-123.0876605,14,0,6,1,11
2016,6,17,49.2821893,-123.1184835,5,55,4,1,1
2014,9,13,49.29345573,-123.1362895,14,0,5,1,22
2015,5,28,49.28390939,-123.12368810000001,16,29,3,1,22
2015,10,9,49.28176431,-123.13540309999999,18,0,4,1,22
2007,5,29,49.2825557,-123.10961,7,30,1,1,1
2011,7,24,49.25983979,-123.13737179999998,20,0,6,1,3
2003,9,17,49.2423085,-123.1004442,1,0,2,1,15
2017,3,25,49.22637225,-123.0336149,13,0,5,1,8
2006,4,12,49.27295435,-123.12583640000001,15,12,2,1,1
2007,5,24,49.28683235,-123.1410578,0,30,3,1,22
2003,1,27,49.29369248,-123.13682539999999,23,55,0,1,22
2011,2,6,49.282467600000004,-123.1070582,18,26,6,1,1
2009,11,11,49.25816372,-123.03698590000002,16,3,2,1,14
2011,9,21,49.28139486,-123.1196866,21,11,2,1,1
2007,3,12,49.28018818,-123.05216170000001,17,0,0,1,5
2014,7,17,49.28120469,-123.0524402,18,30,3,1,5
2007,10,12,49.27066612,-123.1454835,16,0,4,1,3
2015,6,12,49.26647363,-123.11281559999999,21,45,4,1,11
2010,9,30,49.28225756,-123.1327288,10,39,3,1,22
2015,11,3,49.2844136,-123.11238090000002,11,21,1,1,1
2015,12,1,49.26844091,-123.0519757,10,0,1,1,5
2015,4,14,49.27828733,-123.0863499,18,0,1,1,19
2004,1,7,49.28124924,-123.0725203,18,15,2,1,4
2015,3,7,49.26892272,-123.1817761,18,30,5,1,9
2016,4,4,49.27935663,-123.0718348,0,0,0,1,4
2015,6,17,49.25732714,-123.1859257,19,0,2,1,2
2012,5,11,49.248552399999994,-123.0758808,15,51,4,1,6
2003,2,16,49.28115203,-123.09126529999999,21,0,6,1,19
2011,9,19,49.29033648,-123.1378746,20,0,0,1,22
2017,3,15,49.28355314,-123.10361100000001,21,30,2,1,1
2007,1,6,49.28253947,-123.1181426,15,20,5,1,1
2005,1,5,49.26539181,-123.0240798,0,0,2,1,14
2005,6,7,49.28044398,-123.1022695,11,10,1,1,1
2015,10,29,49.27626698,-123.1099044,1,20,3,1,1
2017,3,26,49.28215465,-123.1165557,12,24,6,1,1
2004,4,14,49.28245092,-123.11826429999999,9,55,2,1,1
2014,11,26,49.28276102,-123.11761820000001,17,40,2,1,1
2016,4,24,49.27799664,-123.12866509999998,20,0,6,1,1
2014,9,26,49.26458282,-123.14334380000001,21,0,4,1,3
2005,3,14,49.22554338,-123.0973449,19,0,0,1,20
2014,5,10,49.26408904,-123.1152382,14,35,5,1,3
2004,6,26,49.20794988,-123.0298717,2,0,5,1,8
2006,1,6,49.24147947,-123.06524329999999,8,0,4,1,6
2004,11,16,49.27943582,-123.09967649999999,8,0,1,1,19
2012,11,6,49.28802713,-123.12239650000001,7,30,1,1,1
2007,12,16,49.28272267,-123.1055358,1,20,6,1,1
2003,1,6,49.20693658,-123.1347425,8,0,0,1,10
2015,10,24,49.24870749,-123.12467290000001,23,0,5,1,17
2004,4,14,49.20903083,-123.14057890000001,13,54,2,1,10
2006,9,28,49.23429391,-123.0247578,13,30,3,1,14
2014,8,4,49.21100999,-123.10670449999999,16,18,0,1,10
2014,2,7,49.24216525,-123.11817849999998,12,30,4,1,15
2008,3,2,49.27413304,-123.12388259999999,12,0,6,1,1
2007,6,9,49.28139486,-123.1196866,19,57,5,1,1
2003,6,4,49.25201687,-123.0941443,1,0,2,1,15
2005,10,25,49.29035248,-123.13705530000001,22,0,1,1,22
2003,11,9,49.25908804,-123.0319392,16,0,6,1,14
2003,4,24,49.24337594,-123.0612913,22,30,3,1,6
2006,9,16,49.28499985,-123.1253745,19,17,5,1,22
2013,3,14,49.27605957,-123.12773159999999,17,45,3,1,1
2008,9,21,49.27275034,-123.16354790000001,23,30,6,1,9
2016,6,25,49.26620175,-123.0924091,3,0,5,1,11
2008,5,15,49.27753870000001,-123.090653,23,0,3,1,19
2017,1,10,49.25868778,-123.06985970000001,21,30,1,1,6
2016,1,15,49.27964688,-123.12041409999998,3,0,4,1,1
2003,5,10,49.26346393,-123.1867713,17,0,5,1,23
2007,4,29,49.27186592,-123.13508759999999,12,35,6,1,3
2003,7,11,49.2259834,-123.03652029999999,13,30,4,1,8
2017,3,23,49.28427712,-123.09776809999998,7,30,3,1,19
2005,10,11,49.28002754,-123.1179064,7,30,1,1,1
2016,5,4,49.24566279,-123.10120049999999,12,22,2,1,15
2010,9,16,49.28129382,-123.09888390000002,10,30,3,1,19
2015,8,8,49.224959399999996,-123.1522908,15,0,5,1,7
2009,1,17,49.281231700000006,-123.09530929999998,9,0,5,1,19
2017,1,26,49.23072761,-123.0578453,22,0,3,1,21
2009,10,13,49.26046593,-123.1206307,17,0,1,1,3
2009,1,10,49.23620402,-123.0236584,2,30,5,1,14
2005,11,5,49.23349013,-123.03474809999999,14,45,5,1,14
2010,12,31,49.21422625,-123.11127749999999,12,15,4,1,10
2010,5,9,49.27943821,-123.1133726,12,15,6,1,1
2017,7,6,49.2687182,-123.1182125,20,30,3,1,3
2017,6,16,49.26832278,-123.09737959999998,6,13,4,1,11
2003,1,22,49.23679667,-123.15991340000001,22,0,2,1,0
2004,1,26,49.26439887,-123.1895463,22,0,0,1,23
2004,6,10,49.23605185,-123.0271866,0,15,3,1,14
2015,12,31,49.2599406,-123.145903,20,30,3,1,3
2003,12,18,49.22040283,-123.0781913,15,30,3,1,20
2007,9,13,49.26589564,-123.06380449999999,18,0,3,1,4
2007,6,15,49.25368607,-123.08756699999999,10,0,4,1,6
2004,10,7,49.28444319,-123.10929509999998,17,30,3,1,1
2007,4,4,49.27657043,-123.05650559999998,21,0,2,1,5
2009,10,30,49.27915927,-123.1130996,4,38,4,1,1
2005,1,27,49.22171401,-123.07599509999999,22,30,3,1,21
2009,8,16,49.27957673,-123.10657490000001,5,38,6,1,1
2009,1,5,49.26693562,-123.0739729,16,0,0,1,4
2012,7,11,49.2348713,-123.1163771,15,24,2,1,17
2014,8,22,49.26182036,-123.06986850000001,9,23,4,1,6
2011,9,28,49.23309259,-123.19085049999998,0,0,2,1,2
2006,4,8,49.26246697,-123.0814858,17,0,5,1,11
2003,8,14,49.2605901,-123.12323570000001,6,30,3,1,3
2010,2,25,49.27655331,-123.08589309999999,15,0,3,1,19
2007,6,2,49.25664905,-123.05478259999998,18,30,5,1,14
2003,9,11,49.28002754,-123.1179064,21,45,3,1,1
2009,8,24,49.26408695,-123.16564699999999,20,0,0,1,9
2006,5,10,49.29222793,-123.1386702,16,0,2,1,22
2014,2,21,49.26338679,-123.0948457,23,0,4,1,11
2012,9,23,49.2834402,-123.1165904,20,0,6,1,1
2016,1,13,49.28156094,-123.1100663,7,0,2,1,1
2006,5,28,49.279272399999996,-123.1020182,10,11,6,1,1
2003,4,16,49.26224219,-123.11769,13,45,2,1,3
2014,8,8,49.2605901,-123.12323570000001,6,45,4,1,3
2003,10,26,49.27798423,-123.1211723,23,0,6,1,1
2016,3,5,49.27232596,-123.10191709999998,12,0,5,1,11
2004,6,15,49.20809866,-123.12416599999999,14,0,1,1,10
2006,7,26,49.21096536,-123.0952986,19,0,2,1,20
2007,1,28,49.2621601,-123.11250449999999,2,9,6,1,11
2006,10,21,49.24850792,-123.0799385,17,0,5,1,6
2008,8,17,49.28617642,-123.14024599999999,0,30,6,1,22
2010,2,18,49.24331654,-123.19433659999999,19,0,3,1,2
2017,3,26,49.26564588,-123.1094614,14,0,6,1,11
2015,5,7,49.25987605,-123.14473670000001,20,0,3,1,3
2004,1,13,49.26657844,-123.13487099999999,18,0,1,1,3
2015,1,11,49.26141298,-123.0831642,16,0,6,1,11
2003,3,6,49.28843536,-123.1234673,13,0,3,1,1
2008,3,22,49.27337672,-123.11518240000001,22,0,5,1,1
2005,1,3,49.22711785,-123.15516770000002,21,0,0,1,7
2008,7,5,49.27852608,-123.0996376,19,27,5,1,19
