0,1,CLASSIFICATION
2007.82816377,18.0189623454,1
2007.637018,1.9855992614,1
2007.40784977,-21.9137837886,1
2007.45394933,-13.7971716008,1
2007.63148481,-10.8271241644,1
2007.94128279,30.1767672495,1
2007.45534307,-21.8070822608,1
2007.78831278,18.1596792997,1
2007.42022735,-10.8580117185,1
2007.8532927,33.1041401469,1
2007.37391399,-21.7298182119,1
2007.83134433,28.0774905564,1
2007.87728267,13.1422808174,1
2007.90290159,13.1312505212,1
2007.61433388,-5.72593309042,1
2007.64882809,0.037651281181,1
2007.57557524,8.36776655648,1
2007.93154738,19.5468298643,1
2007.44835728,-21.645264853,1
2007.46617358,-21.9062689838,1
2007.78801501,23.2116592394,1
2007.42356795,-11.9364732261,1
2007.70131777,-5.55926316778,1
2007.84181309,25.1657314827,1
2007.52927237,1.10724942523,1
2007.46583574,-17.8073789871,1
2007.31032566,-22.0147073448,1
2008.02282201,18.1809934145,1
2007.85376397,13.3207009865,1
2007.56114115,-11.5907380611,1
2007.53799198,-8.79608258863,1
2007.64416649,-6.56338258578,1
2007.47160138,-16.8257513972,1
2007.62900218,-1.64650264828,1
2007.93959558,18.2561548343,1
2007.64898068,-10.791152394,1
2007.36966269,-21.5113483572,1
2007.87267234,8.26141071238,1
2007.51333943,-1.77951216036,1
2007.80363894,18.0989351262,1
2007.72383293,8.46171241439,1
2007.74383509,8.37913749257,1
2007.72095874,18.2711321814,1
2007.96231475,28.0929941688,1
2007.6771523,-6.66577741946,1
2007.84227697,5.15939137228,1
2007.7564892,23.2816107181,1
2007.84808234,8.24413098357,1
2007.57569878,-15.8228743098,1
2007.97864524,18.0746739306,1
2007.81224387,8.30307956792,1
2007.44383359,-21.6267803026,1
2007.64350708,-7.61216720441,1
2007.85688719,14.2854997719,1
2007.74791538,18.4424056687,1
2007.5094205,-7.86394982673,1
2007.39610418,-21.719402015,1
2007.38209808,-18.9743734105,1
2007.989444,29.2991484358,1
2007.47869954,-16.8401490483,1
2007.43078386,-5.7301090589,1
2007.41382995,-11.7416970696,1
2007.40217195,-15.7197792563,1
2007.83623212,23.2096393394,1
2007.74494262,8.11654946036,1
2007.6913433,7.13058568172,1
2007.79013494,16.2875911953,1
2007.79458169,8.24223530033,1
2007.77520298,8.02092416632,1
2007.508185,-21.8462155566,1
2007.4252708,-6.73730652648,1
2007.26254042,-21.7334650785,1
2007.61906976,8.28665870473,1
2007.77039591,8.13259373781,1
2007.85075225,12.5835524164,1
2008.07218769,28.2924616429,1
2007.28692902,-21.7670401628,1
2007.78894442,13.1041846593,1
2007.48683792,-21.7026842179,1
2007.5859747,7.1932089015,1
2008.06422086,33.3483646741,1
2007.69195767,17.3262142904,1
2007.60904773,-6.74561682783,1
2008.00461251,31.327550886,1
2007.66950538,0.231512472543,1
2007.95623402,23.1787467599,1
2007.86286314,18.0924155503,1
2007.86678314,13.1864456388,1
2007.76704659,22.2601424025,1
2007.77915594,18.3077365631,1
2007.90350437,33.1853645179,1
2007.39577117,-14.5306961997,1
2007.79583007,23.198628064,1
2007.71929546,3.34517691206,1
2007.56741881,-9.68608168833,1
2007.6376483,-1.79613747455,1
2007.97267876,33.1700369521,1
2007.71039614,-1.77344089213,1
2007.74268035,8.18781814293,1
2007.56502686,0.264640101757,1
2007.67014896,3.23125105749,1
2007.94252271,23.132127816,1
2007.55119211,-9.87807647971,1
2007.72764824,16.2562692352,1
2007.76544458,-1.76337093463,1
2008.10249881,37.1754576458,1
2007.79769139,18.0981914476,1
2007.76113653,33.3626028874,1
2008.03816679,21.2571819644,1
2007.28010161,-21.9816892282,1
2007.98443255,28.3279994279,1
2007.93587871,29.2548094084,1
2007.85970802,30.3692836045,1
2007.61944676,-7.86080918654,1
2007.87769683,28.0386340106,1
2007.66119049,8.1252570611,1
2007.48620001,-9.67612015483,1
2007.82749338,17.2516904412,1
2007.54284731,-1.71958423649,1
2007.67364382,11.2804983402,1
2007.30980337,-17.7866065339,1
2007.77360715,20.4099475275,1
2007.49179364,-11.6390861953,1
2007.404338,-21.6150307391,1
2008.07302636,33.0287602822,1
2007.35638266,-22.044156345,1
2007.60173218,3.07236375516,1
2007.56138793,-6.76420066778,1
2007.68849436,-1.91386840002,1
2007.77491271,8.10265709641,1
2007.52429642,-8.75251285544,1
2007.92324227,8.22428195698,1
2007.86126985,18.1462463385,1
2007.80456958,3.18105456755,1
2007.41976983,-21.8077051576,1
2007.67836436,10.2918688437,1
2007.41010118,-21.63117712,1
2007.91948851,23.1438785247,1
2007.75897703,5.12600548571,1
2007.51748991,-16.970177936,1
2007.31904333,-21.957083217,1
2007.94767794,18.1962384976,1
2007.7382857,15.467999299,1
2008.03729374,25.4510212028,1
2007.81285311,15.1370882369,1
2008.21431124,33.1733551799,1
2007.75780447,8.22133393509,1
2007.92139774,31.3417857338,1
2007.60658713,-21.7859945818,1
2008.0831004,36.2367864248,1
2007.59692301,-11.7931128638,1
2007.91013083,18.1636541468,1
2007.52139445,-16.7029171871,1
2007.83924086,26.0178823439,1
2007.50854596,-2.88221812781,1
2007.81184035,15.3262368463,1
2007.34949044,-16.7074064015,1
2007.74507359,-1.88399241195,1
2007.74530317,18.1770941847,1
2007.36741507,-21.697179669,1
2007.86359001,30.9789172865,1
2007.95607108,28.2300545575,1
2007.8815598,26.4061815515,1
2007.53957015,-21.7657499235,1
2007.98668507,22.267748292,1
2007.69584673,0.14748620714,1
2007.92334756,24.1362882768,1
2007.99682295,28.2994775622,1
2007.77002866,11.9954413892,1
2008.01149809,33.2794352369,1
2007.90993969,24.2113992116,1
